Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0482571,2017-11-27,2017-11-27,,The Prestige,https://www.imdb.com/title/tt0482571/,movie,8.5,130,2006,"Drama, Mystery, Sci-Fi, Thriller",1204289,2006-10-17,Christopher Nolan
2,tt0443543,2017-11-27,2017-11-27,,The Illusionist,https://www.imdb.com/title/tt0443543/,movie,7.6,110,2006,"Drama, Fantasy, Mystery, Romance, Thriller",356394,2006-01-22,Neil Burger
3,tt1485796,2018-06-01,2018-06-01,,The Greatest Showman,https://www.imdb.com/title/tt1485796/,movie,7.6,105,2017,"Biography, Drama, Musical",243633,2017-12-20,Michael Gracey
4,tt1670345,2017-11-27,2017-11-27,,Now You See Me,https://www.imdb.com/title/tt1670345/,movie,7.3,115,2013,"Crime, Mystery, Thriller",600901,2013-05-21,Louis Leterrier
5,tt3110958,2017-11-27,2017-11-27,,Now You See Me 2,https://www.imdb.com/title/tt3110958/,movie,6.5,129,2016,"Action, Adventure, Comedy, Crime, Mystery, Thriller",252590,2016-06-02,Jon M. Chu
6,tt0241527,2017-11-27,2017-11-27,,Harry Potter and the Sorcerer's Stone,https://www.imdb.com/title/tt0241527/,movie,7.6,152,2001,"Adventure, Family, Fantasy",667230,2001-11-04,Chris Columbus
7,tt0295297,2017-11-27,2017-11-27,,Harry Potter and the Chamber of Secrets,https://www.imdb.com/title/tt0295297/,movie,7.4,161,2002,"Adventure, Family, Fantasy, Mystery",561110,2002-11-03,Chris Columbus
8,tt0304141,2017-11-27,2017-11-27,,Harry Potter and the Prisoner of Azkaban,https://www.imdb.com/title/tt0304141/,movie,7.9,142,2004,"Adventure, Family, Fantasy, Mystery",558940,2004-05-23,Alfonso Cuarón
9,tt0330373,2017-11-27,2017-11-27,,Harry Potter and the Goblet of Fire,https://www.imdb.com/title/tt0330373/,movie,7.7,157,2005,"Adventure, Family, Fantasy, Mystery",554853,2005-11-06,Mike Newell
10,tt0373889,2017-11-27,2017-11-27,,Harry Potter and the Order of the Phoenix,https://www.imdb.com/title/tt0373889/,movie,7.5,138,2007,"Action, Adventure, Family, Fantasy, Mystery",517101,2007-06-28,David Yates
11,tt0417741,2017-11-27,2017-11-27,,Harry Potter and the Half-Blood Prince,https://www.imdb.com/title/tt0417741/,movie,7.6,153,2009,"Action, Adventure, Family, Fantasy, Mystery",480603,2009-07-06,David Yates
12,tt0926084,2017-11-27,2017-11-27,,Harry Potter and the Deathly Hallows: Part 1,https://www.imdb.com/title/tt0926084/,movie,7.7,146,2010,"Adventure, Family, Fantasy, Mystery",484938,2010-11-11,David Yates
