Date,Close/Last,Volume,Open,High,Low
04/01/2021,64.86,65423,62.99,65.16,62.37
03/31/2021,63.54,257,64.48,64.69,63.59
03/30/2021,64.14,4029,65.31,65.65,63.64
03/29/2021,64.98,16677,64.04,65.14,64.67
03/26/2021,64.57,22194,61.74,64.88,61.74
03/25/2021,61.95,27487,64.15,64.15,60.98
03/24/2021,64.41,33152,60.35,64.56,60.34
03/23/2021,60.79,42797,64.31,64.34,60.26
03/22/2021,64.62,29260,64.66,65.07,63.45
03/19/2021,64.53,53604,62.83,64.9,62.08
03/18/2021,63.28,60315,67.93,68.15,61.42
03/17/2021,68,37246,68.39,68.88,66.96
03/16/2021,68.39,26847,68.86,68.96,67.36
03/15/2021,68.88,29627,69.12,70.02,67.83
03/12/2021,69.22,26780,69.59,69.9,69.03
03/11/2021,69.63,30177,68.26,69.83,68
03/10/2021,67.9,36606,67.33,68.43,66.82
03/09/2021,67.52,30528,68.1,69.32,67.14
03/08/2021,68.24,37137,69.9,71.36,67.81
03/05/2021,69.36,39966,67.26,69.69,66.66
03/04/2021,66.74,67280,63.94,67.25,66.77
03/03/2021,64.07,35008,62.47,64.14,63.8
03/02/2021,62.7,37510,63.39,63.38,62.37
03/01/2021,63.69,32914,64.71,63.49,63.18
02/26/2021,66.13,185,66.71,66.08,66.06
02/25/2021,66.88,10181,67.34,67.17,66.6
02/24/2021,67.04,24916,65.23,67.29,66.61
02/23/2021,65.37,32551,65.66,66.79,64.48
02/22/2021,65.24,31265,62.73,65.84,64.39
02/19/2021,62.91,47322,63.65,63.93,62.48
02/18/2021,63.93,41371,64.87,64.06,63.23
02/17/2021,64.34,45455,63.55,64.95,64.41
02/16/2021,63.35,64109,63.42,63.54,63.34
02/12/2021,62.43,34072,60.86,62.83,60.34
02/11/2021,61.14,23866,61.21,61.5,60.73
02/10/2021,61.47,28015,61.23,61.68,60.89
02/09/2021,61.09,30881,60.64,61.27,60.04
02/08/2021,60.56,20784,59.56,60.7,59.55
02/05/2021,59.34,23213,59.1,59.79,59.08
02/04/2021,58.84,24482,58.67,59.05,58.06
02/03/2021,58.46,33460,57.79,58.94,57.53
02/02/2021,57.46,34344,56.29,58.05,56.22
02/01/2021,56.35,33337,54.9,56.53,54.62
01/29/2021,55.88,1118,55.52,56.35,55.43
01/28/2021,55.53,5291,55.67,56.59,55.22
01/27/2021,55.81,18897,56.08,56.48,55.2
01/26/2021,55.91,17386,55.98,56.34,55.4
01/25/2021,55.88,23612,55.2,56.02,55.09
01/22/2021,55.41,32183,56.15,56.17,54.49
01/21/2021,56.1,21471,55.78,56.17,55.98
01/20/2021,56.08,29330,55.9,56.36,55.65
01/19/2021,55.9,36102,54.74,56.08,54.5
01/15/2021,55.1,29335,56.43,56.64,54.65
01/14/2021,56.42,31161,55.94,56.48,56.29
01/13/2021,56.06,32459,56.73,56.21,55.95
