location,iso_code,people_vaccinated,people_vaccinated_per_hundred
Israel,ISR,61,0
Israel,ISR,7433,0.09
Israel,ISR,32304,0.37
Israel,ISR,76914,0.89
Israel,ISR,139728,1.61
Israel,ISR,213023,2.46
Israel,ISR,251461,2.91
Israel,ISR,284013,3.28
Israel,ISR,388298,4.49
Israel,ISR,523018,6.04
Israel,ISR,678849,7.84
Israel,ISR,831442,9.61
Israel,ISR,989445,11.43
Israel,ISR,1060610,12.25
Israel,ISR,1132162,13.08
Israel,ISR,1281421,14.8
Israel,ISR,1433120,16.56
Israel,ISR,1557817,18
Israel,ISR,1660725,19.19
Israel,ISR,1776362,20.52
Israel,ISR,1842567,21.29
Israel,ISR,1886978,21.8
Israel,ISR,1924462,22.23
Israel,ISR,1945449,22.48
Israel,ISR,1969278,22.75
Israel,ISR,2021106,23.35
Israel,ISR,2077321,24
Israel,ISR,2107879,24.35
Israel,ISR,2137205,24.69
Israel,ISR,2205414,25.48
Israel,ISR,2274909,26.28
Israel,ISR,2347563,27.12
Israel,ISR,2424075,28.01
Israel,ISR,2493719,28.81
Israel,ISR,2531421,29.25
Israel,ISR,2571251,29.71
Israel,ISR,2640162,30.5
Israel,ISR,2720874,31.44
Israel,ISR,2799343,32.34
Israel,ISR,2877016,33.24
Israel,ISR,2956388,34.16
Israel,ISR,2992897,34.58
Israel,ISR,3027170,34.97
Israel,ISR,3100300,35.82
Israel,ISR,3182494,36.77
Israel,ISR,3252304,37.57
Israel,ISR,3312338,38.27
Israel,ISR,3384689,39.1
Israel,ISR,3418446,39.49
Israel,ISR,3439963,39.74
Israel,ISR,3493873,40.37
Israel,ISR,3552308,41.04
Israel,ISR,3618419,41.8
Israel,ISR,3688725,42.62
Israel,ISR,3769641,43.55
Israel,ISR,3808555,44
Israel,ISR,3835923,44.32
Israel,ISR,3910562,45.18
Israel,ISR,3991867,46.12
Israel,ISR,4075146,47.08
Israel,ISR,4136909,47.79
Israel,ISR,4205860,48.59
Israel,ISR,4245404,49.05
Israel,ISR,4276975,49.41
Israel,ISR,4356252,50.33
Israel,ISR,4441099,51.31
Israel,ISR,4518264,52.2
Israel,ISR,4579112,52.9
Israel,ISR,4630587,53.5
Israel,ISR,4656271,53.8
Israel,ISR,4674508,54.01
Israel,ISR,4714796,54.47
Israel,ISR,4760319,55
Israel,ISR,4801321,55.47
Israel,ISR,4843438,55.96
Israel,ISR,4882953,56.41
Israel,ISR,4900141,56.61
Israel,ISR,4910829,56.74
Israel,ISR,4941833,57.09
Israel,ISR,4969246,57.41
Israel,ISR,4995779,57.72
Israel,ISR,5018851,57.98
Israel,ISR,5041936,58.25
Israel,ISR,5053043,58.38
Israel,ISR,5060932,58.47
Israel,ISR,5081824,58.71
Israel,ISR,5101721,58.94
Israel,ISR,5120292,59.16
Israel,ISR,5137780,59.36
Israel,ISR,5153697,59.54
Israel,ISR,5160470,59.62
Israel,ISR,5165622,59.68
Israel,ISR,5178609,59.83
Israel,ISR,5191746,59.98
Israel,ISR,5194320,60.01
Israel,ISR,5204993,60.13
Israel,ISR,5214889,60.25
Israel,ISR,5218871,60.3
Israel,ISR,5220588,60.31
Israel,ISR,5222616,60.34
Israel,ISR,5229339,60.42
Israel,ISR,5237148,60.51
Israel,ISR,5245209,60.6
Israel,ISR,5253248,60.69
Israel,ISR,5256007,60.72
Israel,ISR,5257338,60.74
Israel,ISR,5269051,60.87
Italy,ITA,7151,0.01
Italy,ITA,8571,0.01
Italy,ITA,9576,0.02
Italy,ITA,14300,0.02
Italy,ITA,39766,0.07
Italy,ITA,50817,0.08
Italy,ITA,89320,0.15
Italy,ITA,124452,0.21
Italy,ITA,193082,0.32
Italy,ITA,272620,0.45
Italy,ITA,337795,0.56
Italy,ITA,429949,0.71
Italy,ITA,525445,0.87
Italy,ITA,612306,1.01
Italy,ITA,672631,1.11
Italy,ITA,753509,1.25
Italy,ITA,835313,1.38
Italy,ITA,929444,1.54
Italy,ITA,1022702,1.69
Italy,ITA,1111806,1.84
Italy,ITA,1176434,1.95
Italy,ITA,1210255,2
Italy,ITA,1248621,2.07
Italy,ITA,1279327,2.12
Italy,ITA,1305018,2.16
Italy,ITA,1320595,2.18
Italy,ITA,1332745,2.2
Italy,ITA,1338410,2.21
Italy,ITA,1341439,2.22
Italy,ITA,1345944,2.23
Italy,ITA,1349982,2.23
Italy,ITA,1355863,2.24
Italy,ITA,1360376,2.25
Italy,ITA,1364918,2.26
Italy,ITA,1368905,2.26
Italy,ITA,1371375,2.27
Italy,ITA,1375707,2.28
Italy,ITA,1382030,2.29
Italy,ITA,1391196,2.3
