DOP,Blanco,Rosado,Tinto,"De licor blanco","De licor tinto y rosado","Espumoso blanco","Espumoso tinto y rosado","De aguja blanco","De aguja tinto y rosado",Otros,TOTAL
Abona,6050,739,1286,0,0,0,0,0,0,0,8075  
Alella (1),4439,240,477,,0,5715  
Alicante,30965,8461,79583,1060,127,1861,480,0,0,50,122587  
Almansa,1566,107,34160,202,5922,0,0,0,0,0,41957  
Arlanza,74,949,2083,0,0,0,0,0,0,0,3106  
Arribes ,277,347,5086,0,0,0,0,0,0,0,5710  
Aylés,0,58,625,0,0,0,0,0,0,0,683  
Bierzo,10969,4388,67883,0,0,0,0,0,0,0,83240  
Binissalem,1759,1224,4337,0,0,159,49,0,0,0,7528  
Bullas,1677,1066,8169,0,0,10,0,0,0,0,10922  
Calatayud,3786,1143,82681,0,0,0,0,0,0,0,87610  
Calzadilla,0,0,429,0,0,0,0,0,0,0,429  
Campo de Borja,10970,14504,128703,207,0,0,0,0,0,0,154384  
Campo de la Guardia,98,0,1564,0,0,0,0,0,0,0,1662  
Cangas,125,0,333,0,0,0,0,0,0,0,458  
Cariñena,37619,9135,286533,44,0,0,0,0,0,0,333331  
Casa del Blanco,168,0,161,0,0,0,0,0,0,0,329  
Cataluña,212043,39025,177566,0,0,0,0,0,0,0,428634  
Cava,0,0,0,0,0,1675253,158995,0,0,0,1834248  
Cebreros,49,659,305,0,0,0,0,0,0,0,1013  
Chacolí de Álava,2859,0,0,0,0,0,0,0,0,0,2859  
Chacolí de Bizkaia,14633,46,88,0,0,0,0,0,0,0,14767  
Chacolí de Getaria,24045,1926,64,0,0,240,0,0,0,6,26281  
Cigales,686,19279,11069,0,0,0,0,0,0,0,31034  
Conca de Barberá,2180,618,3516,0,0,0,0,87,0,0,6401  
Condado de Huelva,40917,0,891,37377,2,0,0,0,0,0,79187  
Costers del Segre,14703,2371,22505,0,0,46,0,0,0,5,39630  
Dehesa del Carrizal ,46,0,566,0,0,0,0,0,0,0,612  
Dominio de Valdepusa ,0,0,3136,0,0,0,0,0,0,0,3136  
El Hierro ,819,42,552,0,0,0,0,0,0,0,1413  
El Terrerazo,0,0,1044,0,0,0,0,0,0,0,1044  
Empordà,11813,6334,25308,1882,0,141,0,1,0,9,45488  
